Step,Value,Architecture,coding,Metric,Plot,Level
20,0.9178,Connected_densenet,bits0,Accuracy,A,Genus
20,0.908,Connected_densenet,bits0,Precision,A,Genus
20,0.9301,Connected_densenet,bits0,F1,A,Genus
20,0.9655,Connected_iterative,bits0,Accuracy,A,Genus
20,0.9608,Connected_iterative,bits0,Precision,A,Genus
20,0.9834,Connected_iterative,bits0,F1,A,Genus
20,0.9821,Enhanced_MLP,bits0,Accuracy,A,Genus
20,0.9815,Enhanced_MLP,bits0,Precision,A,Genus
20,0.9766,Enhanced_MLP,bits0,F1,A,Genus
20,0.977,Nanni2024_Attention,bits0,Accuracy,A,Genus
20,0.9764,Nanni2024_Attention,bits0,Precision,A,Genus
20,0.9965,Nanni2024_Attention,bits0,F1,A,Genus
20,0.7873,Nanni2024_CNN1,bits0,Accuracy,A,Genus
20,0.7435,Nanni2024_CNN1,bits0,Precision,A,Genus
20,0.733,Nanni2024_CNN1,bits0,F1,A,Genus
18,0.9778,Nanni2024_CNN2,bits0,Accuracy,A,Genus
18,0.9756,Nanni2024_CNN2,bits0,Precision,A,Genus
18,0.9963,Nanni2024_CNN2,bits0,F1,A,Genus
20,0.9821,Enhanced_MLP,bits0,Accuracy,B,Genus
20,0.9815,Enhanced_MLP,bits0,Precision,B,Genus
20,0.9766,Enhanced_MLP,bits0,F1,B,Genus
20,0.1648,Enhanced_MLP,k1,Accuracy,B,Genus
20,0.0781,Enhanced_MLP,k1,Precision,B,Genus
20,0.0713,Enhanced_MLP,k1,F1,B,Genus
20,0.6368,Enhanced_MLP,k2,Accuracy,B,Genus
20,0.6596,Enhanced_MLP,k2,Precision,B,Genus
20,0.5935,Enhanced_MLP,k2,F1,B,Genus
20,0.8958,Enhanced_MLP,k3,Accuracy,B,Genus
20,0.9067,Enhanced_MLP,k3,Precision,B,Genus
20,0.8774,Enhanced_MLP,k3,F1,B,Genus
20,0.9535,Enhanced_MLP,k4,Accuracy,B,Genus
20,0.9567,Enhanced_MLP,k4,Precision,B,Genus
20,0.9425,Enhanced_MLP,k4,F1,B,Genus
20,0.9393,Enhanced_MLP,bits1,Accuracy,B,Genus
20,0.9436,Enhanced_MLP,bits1,Precision,B,Genus
20,0.923,Enhanced_MLP,bits1,F1,B,Genus
20,0.9456,Enhanced_MLP,bits2,Accuracy,B,Genus
20,0.9493,Enhanced_MLP,bits2,Precision,B,Genus
20,0.93,Enhanced_MLP,bits2,F1,B,Genus
20,0.9581,Enhanced_MLP,bits3,Accuracy,B,Genus
20,0.9582,Enhanced_MLP,bits3,Precision,B,Genus
20,0.9451,Enhanced_MLP,bits3,F1,B,Genus
20,0.9594,Enhanced_MLP,bits4,Accuracy,B,Genus
20,0.9614,Enhanced_MLP,bits4,Precision,B,Genus
20,0.9471,Enhanced_MLP,bits4,F1,B,Genus
20,0.9962,Enhanced_MLP,bits0,Accuracy,C,Order
20,0.9844,Enhanced_MLP,bits0,Precision,C,Order
20,0.9784,Enhanced_MLP,bits0,F1,C,Order
15,0.5013,Enhanced_MLP,k1,Accuracy,C,Order
15,0.1352,Enhanced_MLP,k1,Precision,C,Order
15,0.0934,Enhanced_MLP,k1,F1,C,Order
20,0.7062,Enhanced_MLP,k2,Accuracy,C,Order
20,0.5754,Enhanced_MLP,k2,Precision,C,Order
20,0.4194,Enhanced_MLP,k2,F1,C,Order
20,0.8947,Enhanced_MLP,k3,Accuracy,C,Order
20,0.852,Enhanced_MLP,k3,Precision,C,Order
20,0.7429,Enhanced_MLP,k3,F1,C,Order
20,0.974,Enhanced_MLP,k4,Accuracy,C,Order
20,0.9383,Enhanced_MLP,k4,Precision,C,Order
20,0.9049,Enhanced_MLP,k4,F1,C,Order
20,0.9822,Enhanced_MLP,bits1,Accuracy,C,Order
20,0.9622,Enhanced_MLP,bits1,Precision,C,Order
20,0.9228,Enhanced_MLP,bits1,F1,C,Order
20,0.9859,Enhanced_MLP,bits2,Accuracy,C,Order
20,0.9645,Enhanced_MLP,bits2,Precision,C,Order
20,0.937,Enhanced_MLP,bits2,F1,C,Order
20,0.9891,Enhanced_MLP,bits3,Accuracy,C,Order
20,0.9761,Enhanced_MLP,bits3,Precision,C,Order
20,0.9592,Enhanced_MLP,bits3,F1,C,Order
20,0.9898,Enhanced_MLP,bits4,Accuracy,C,Order
20,0.979,Enhanced_MLP,bits4,Precision,C,Order
20,0.9597,Enhanced_MLP,bits4,F1,C,Order
20,0.94,Bert,bits0,Accuracy,D,Order
20,0.7121,Bert,bits0,Precision,D,Order
20,0.7697,Bert,bits0,F1,D,Order
20,0.9962,Enhanced_MLP,bits0,Accuracy,D,Order
20,0.9844,Enhanced_MLP,bits0,Precision,D,Order
20,0.9784,Enhanced_MLP,bits0,F1,D,Order
10,0.993,Nanni2024_Attention,bits0,Accuracy,D,Order
10,0.9813,Nanni2024_Attention,bits0,Precision,D,Order
10,0.9776,Nanni2024_Attention,bits0,F1,D,Order
20,0.9707,Nanni2024_CNN1,bits0,Accuracy,D,Order
20,0.8518,Nanni2024_CNN1,bits0,Precision,D,Order
20,0.806,Nanni2024_CNN1,bits0,F1,D,Order
15,0.995,Nanni2024_CNN2,bits0,Accuracy,D,Order
15,0.9802,Nanni2024_CNN2,bits0,Precision,D,Order
15,0.9711,Nanni2024_CNN2,bits0,F1,D,Order
