001, Acc: 99.94%
2025-07-08 12:16:02 INFO     Train Epoch: 2 [7200/357188] Loss: 0.000016, Acc: 99.93%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [7500/357188] Loss: 0.006938, Acc: 99.93%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [7800/357188] Loss: 0.000099, Acc: 99.94%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [8100/357188] Loss: 0.000036, Acc: 99.93%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [8400/357188] Loss: 0.000012, Acc: 99.93%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [8700/357188] Loss: 0.000007, Acc: 99.93%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [9000/357188] Loss: 0.000007, Acc: 99.93%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [9300/357188] Loss: 0.000018, Acc: 99.94%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [9600/357188] Loss: 0.000011, Acc: 99.94%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [9900/357188] Loss: 0.000018, Acc: 99.94%
2025-07-08 12:16:03 INFO     Train Epoch: 2 [10200/357188] Loss: 0.000002, Acc: 99.94%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [10500/357188] Loss: 0.000007, Acc: 99.94%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [10800/357188] Loss: 0.000006, Acc: 99.94%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [11100/357188] Loss: 0.000013, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [11400/357188] Loss: 0.000007, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [11700/357188] Loss: 0.000007, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [12000/357188] Loss: 0.000001, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [12300/357188] Loss: 0.000002, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [12600/357188] Loss: 0.000037, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [12900/357188] Loss: 0.000007, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [13200/357188] Loss: 0.000011, Acc: 99.95%
2025-07-08 12:16:04 INFO     Train Epoch: 2 [13500/357188] Loss: 0.000001, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [13800/357188] Loss: 0.000004, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [14100/357188] Loss: 0.000006, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [14400/357188] Loss: 0.000003, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [14700/357188] Loss: 0.000009, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [15000/357188] Loss: 0.000004, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [15300/357188] Loss: 0.000031, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [15600/357188] Loss: 0.000004, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [15900/357188] Loss: 0.002651, Acc: 99.96%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [16200/357188] Loss: 0.045118, Acc: 99.95%
2025-07-08 12:16:05 INFO     Train Epoch: 2 [16500/357188] Loss: 0.000602, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [16800/357188] Loss: 0.000102, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [17100/357188] Loss: 0.000226, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [17400/357188] Loss: 0.000048, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [17700/357188] Loss: 0.000027, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [18000/357188] Loss: 0.000029, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [18300/357188] Loss: 0.000868, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [18600/357188] Loss: 0.000021, Acc: 99.95%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [18900/357188] Loss: 0.000004, Acc: 99.94%
2025-07-08 12:16:06 INFO     Train Epoch: 2 [19200/357188] Loss: 0.000016, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [19500/357188] Loss: 0.000010, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [19800/357188] Loss: 0.000018, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [20100/357188] Loss: 0.000015, Acc: 99.95%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [20400/357188] Loss: 0.000002, Acc: 99.95%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [20700/357188] Loss: 0.000002, Acc: 99.95%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [21000/357188] Loss: 0.000118, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [21300/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [21600/357188] Loss: 0.000002, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [21900/357188] Loss: 0.000002, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [22200/357188] Loss: 0.000005, Acc: 99.94%
2025-07-08 12:16:07 INFO     Train Epoch: 2 [22500/357188] Loss: 0.040124, Acc: 99.93%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [22800/357188] Loss: 0.014406, Acc: 99.93%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [23100/357188] Loss: 0.000019, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [23400/357188] Loss: 0.000008, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [23700/357188] Loss: 0.000018, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [24000/357188] Loss: 0.000008, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [24300/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [24600/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [24900/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [25200/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:08 INFO     Train Epoch: 2 [25500/357188] Loss: 0.000007, Acc: 99.94%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [25800/357188] Loss: 0.000015, Acc: 99.94%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [26100/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [26400/357188] Loss: 0.000281, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [26700/357188] Loss: 0.001830, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [27000/357188] Loss: 0.040693, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [27300/357188] Loss: 0.000059, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [27600/357188] Loss: 0.000095, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [27900/357188] Loss: 0.000044, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [28200/357188] Loss: 0.000012, Acc: 99.93%
2025-07-08 12:16:09 INFO     Train Epoch: 2 [28500/357188] Loss: 0.000007, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [28800/357188] Loss: 0.000028, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [29100/357188] Loss: 0.404387, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [29400/357188] Loss: 0.007434, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [29700/357188] Loss: 0.000466, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [30000/357188] Loss: 0.000007, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [30300/357188] Loss: 0.000012, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [30600/357188] Loss: 0.000006, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [30900/357188] Loss: 0.000002, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [31200/357188] Loss: 0.000004, Acc: 99.93%
2025-07-08 12:16:10 INFO     Train Epoch: 2 [31500/357188] Loss: 0.000003, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [31800/357188] Loss: 0.000027, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [32100/357188] Loss: 0.000018, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [32400/357188] Loss: 0.000331, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [32700/357188] Loss: 0.000304, Acc: 99.93%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33000/357188] Loss: 0.040703, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33300/357188] Loss: 0.000064, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33600/357188] Loss: 0.000013, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [33900/357188] Loss: 0.000054, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [34200/357188] Loss: 0.000009, Acc: 99.92%
2025-07-08 12:16:11 INFO     Train Epoch: 2 [34500/357188] Loss: 0.000048, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [34800/357188] Loss: 0.000008, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [35100/357188] Loss: 0.000009, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [35400/357188] Loss: 0.000003, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [35700/357188] Loss: 0.000278, Acc: 99.92%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [36000/357188] Loss: 0.000005, Acc: 99.91%
2025-07-08 12:16:12 INFO     Train Epoch: 2 [36300/357188] Loss: 0.000021, Acc: 99.91%
